filename,num_segments
101085.png,15643
103070.png,2591
108082.png,6469
109053.png,3231
119082.png,6348
12084.png,5988
126007.png,3251
130026.png,12026
14037.png,705
147091.png,9298
148089.png,10731
156065.png,15223
157055.png,7423
16077.png,5184
163085.png,2920
167062.png,2282
167083.png,35227
170057.png,2409
175032.png,34500
189080.png,1093
219090.png,4894
220075.png,5552
229036.png,15910
24077.png,7982
241004.png,2021
253027.png,11670
260058.png,816
271035.png,5151
285079.png,9807
291000.png,33924
295087.png,6767
296007.png,1053
300091.png,3938
304034.png,14688
38092.png,8850
41033.png,2699
42049.png,2966
43074.png,2906
45096.png,998
54082.png,5360
58060.png,26338
62096.png,11328
69015.png,2891
69040.png,8031
76053.png,1703
78004.png,4249
8023.png,2503
86000.png,7613
86016.png,37039
89072.png,7911
